Sample,NumSusceptible,NumInfected,NumRecovered,NumDead,CumAgeDead,CumAgeRecovery,Time,,,,Age Death,Age Recovery,,,,,,,,
88,98,0,1,0,0,16,22.571,,,,#DIV/0!,16,,,,,,,,
89,95,0,3,1,70,95,31.0313,,,,70,31.66666667,,,,,,,,
90,89,0,9,1,5,408,76.535,,,,5,45.33333333,,,,,,,,
91,96,0,3,0,0,124,54.8239,,,,#DIV/0!,41.33333333,,,,,,,,
92,92,0,7,0,0,370,52.9708,,,,#DIV/0!,52.85714286,,,,,,,,
93,97,0,2,0,0,149,14.7087,,,,#DIV/0!,74.5,,,,,,,,
94,98,0,1,0,0,77,22.253,,,,#DIV/0!,77,,,,,,,,
95,90,0,6,3,118,196,45.5884,,,,39.33333333,32.66666667,,,,,,,,
96,90,0,8,1,59,416,75.749,,,,59,52,,,,,,,,
97,96,0,2,1,53,88,34.1004,,,,53,44,,,,,,,,
98,89,0,9,1,15,321,78.098,,,,15,35.66666667,,,,,,,,
99,91,0,7,1,66,291,57.728,,,,66,41.57142857,,,,,,,,
100,93,0,5,1,21,149,54.8301,,,,21,29.8,,,,,,,,
