19,141,29,0,1
18,37,59,0,1
17,44,62,0,1
16,253,68,0,1
15,264,41,0,1
14,122,33,0,1
13,294,3,0,1
12,67,99,0,1
11,338,69,0,1
10,247,26,0,1
9,316,18,0,0
8,292,82,0,0
7,204,2,0,0
6,27,36,0,0
5,91,95,0,0
4,81,27,0,0
3,64,5,0,0
2,278,58,0,0
1,100,69,0,0
0,41,67,0,0
10,10,0,0
19,170,52,0,1
18,121,13,0,1
17,0,2,0,1
16,19,44,0,1
15,195,49,0,1
14,266,72,0,1
13,120,26,0,1
12,4,37,0,1
11,56,51,0,1
10,376,67,0,1
9,349,33,0,0
8,131,40,0,0
7,108,32,0,0
6,4,42,0,0
5,164,81,0,0
4,302,72,0,0
3,188,77,0,0
2,148,87,0,0
1,77,42,0,0
0,338,79,0,0
10,10,0,1
19,131,88,0,1
18,76,80,0,1
17,55,76,0,1
16,50,96,0,1
15,345,99,0,1
14,7,96,0,1
13,86,56,0,1
12,311,28,0,1
11,63,88,0,1
10,233,54,0,1
9,102,16,0,0
8,276,49,0,0
7,317,90,0,0
6,225,30,0,0
5,186,27,0,0
4,208,2,0,0
3,201,45,0,0
2,248,78,0,0
1,39,97,0,0
0,148,38,0,0
10,10,0,2
19,155,25,0,1
18,24,63,0,1
17,50,17,0,1
16,52,46,0,1
15,236,35,0,1
14,181,16,0,1
13,282,77,0,1
12,59,27,0,1
11,131,72,0,1
10,114,88,0,1
9,155,15,0,0
8,294,87,0,0
7,17,78,0,0
6,352,97,0,0
5,314,20,0,0
4,56,85,0,0
3,8,66,0,0
2,158,95,0,0
1,52,11,0,0
0,57,54,0,0
10,10,0,3
19,153,28,0,1
18,248,71,0,1
17,294,26,0,1
16,241,48,0,1
15,231,20,0,1
14,74,59,0,1
13,5,64,0,1
12,173,30,0,1
11,379,72,0,1
10,372,6,0,1
9,335,11,0,0
8,292,68,0,0
7,6,76,0,0
6,361,54,0,0
5,386,42,0,0
4,194,77,0,0
3,46,45,0,0
2,348,52,0,0
1,10,2,0,0
0,272,42,0,0
10,10,0,4
19,64,30,0,1
18,82,43,0,1
17,349,54,0,1
16,87,10,0,1
15,317,95,0,1
14,107,28,0,1
13,147,8,0,1
12,389,11,0,1
11,377,94,0,1
10,223,27,0,1
9,34,68,0,0
8,368,60,0,0
7,395,51,0,0
6,273,54,0,0
5,96,45,0,0
4,263,38,0,0
3,334,46,0,0
2,137,7,0,0
1,33,4,0,0
0,57,24,0,0
10,10,0,5
19,221,62,0,1
18,214,12,0,2
17,103,75,0,1
16,76,86,0,1
15,46,63,0,1
14,399,53,0,1
13,302,42,0,1
12,138,52,0,1
11,289,39,0,1
10,283,45,0,1
9,187,7,0,0
8,391,39,0,0
7,391,38,0,0
6,2,3,0,0
5,333,11,0,0
4,12,31,0,0
3,329,43,0,0
2,153,93,0,0
1,138,92,0,0
0,339,79,0,0
10,10,0,6
19,355,76,0,1
18,315,28,0,2
17,374,61,0,1
16,339,99,0,1
15,1,48,0,1
14,52,65,0,1
13,310,74,0,1
12,283,65,0,2
11,45,60,0,1
10,241,91,0,1
9,169,88,0,0
8,135,35,0,0
7,213,67,0,0
6,163,38,0,0
5,383,84,0,0
4,78,75,0,0
3,388,35,0,0
2,192,46,0,0
1,162,46,0,0
0,249,24,0,0
10,10,0,7
19,204,62,0,1
18,228,2,0,2
17,396,29,0,1
16,357,86,0,1
15,306,6,0,1
14,243,67,0,1
13,335,51,0,1
12,297,79,0,2
11,269,94,0,1
10,115,63,0,1
9,328,21,0,0
8,205,22,0,0
7,110,85,0,0
6,340,11,0,0
5,253,47,0,0
4,346,67,0,0
3,373,37,0,0
2,272,59,0,0
1,189,48,0,0
0,348,51,0,0
10,10,0,8
19,128,85,0,1
18,200,63,0,2
17,177,32,0,1
16,189,91,0,1
15,299,31,0,1
14,74,59,0,1
13,77,73,0,1
12,383,43,0,2
11,169,81,0,1
10,75,76,0,1
9,102,91,0,0
8,175,57,0,0
7,143,96,0,0
6,100,7,0,0
5,120,32,0,0
4,96,7,0,0
3,67,32,0,0
2,296,78,0,0
1,314,24,0,0
0,42,9,0,0
10,10,0,9
19,30,56,0,1
18,266,41,0,2
17,370,83,0,1
16,73,9,0,1
15,363,50,0,1
14,26,59,0,1
13,164,33,0,1
12,309,53,0,2
11,126,51,0,1
10,390,52,0,1
9,329,34,0,0
8,133,21,0,0
7,52,78,0,0
6,386,72,0,0
5,7,9,0,0
4,170,32,0,0
3,94,61,0,0
2,224,1,0,0
1,34,26,0,0
0,204,32,0,0
10,10,0,10
19,91,51,0,1
18,391,5,0,2
17,230,85,0,1
16,189,39,0,1
15,289,61,0,2
14,397,70,0,2
13,111,86,0,1
12,229,43,0,2
11,250,39,0,1
10,153,92,0,1
9,380,96,0,0
8,362,21,0,0
7,165,36,0,0
6,364,37,0,0
5,214,86,0,0
4,170,90,0,0
3,133,64,0,0
2,184,58,0,0
1,358,3,0,0
0,112,45,0,0
10,10,0,11
19,178,52,0,1
18,41,65,0,2
17,258,78,0,1
16,373,44,0,1
15,29,72,0,2
14,301,5,0,2
13,67,58,0,1
12,379,66,0,2
11,335,95,0,1
10,169,18,0,1
9,137,22,0,0
8,119,58,0,0
7,236,5,0,0
6,125,33,0,0
5,36,3,0,0
4,282,7,0,0
